playdate,number,day,vteam,vleague,v_number,hteam,hleague,h_number,vscore,hscore,len_game,daynight,cinfo,finfo,pinfo,park_id,attendance,len_min,v_line_score,h_line_score,v_at_bats,v_hits,v_doubles,v_triples,v_hruns,v_rbi,v_sh,v_sf,v_hit_pitch,v_walks,v_in_walks,v_strkouts,v_stlbase,v_cau_stl,v_grd_dbl,v_af_ci,v_lft_base,v_ptc_used,v_in_er_rn,v_er_rns,v_wld_ptc,v_balks,v_putouts,v_assists,v_errors,v_pballs,v_dplays,v_tplays,h_bats,h_hits,h_doubles,h_triples,h_hruns,h_rbi,h_sac_hts,h_sac_fly,h_hit_pch,h_walks,h_in_walks,h_strkout,h_stl_bs,h_cug_stl,h_dbl_play,h_af_ci,h_lft_base,h_pch_used,h_in_runs,h_er_runs,h_wld_pitch,h_balks,h_putouts,h_assists,h_errors,h_pballs,h_dplays,h_tplays,hp_ump_id,hp_name,1b_ump_id,1b_ump_name,2b_ump_id,2b_ump_name,3b_ump_id,3b_ump_name,lf_ump_id,lf_ump_name,rf_ump_id,rf_ump_name,v_mid,v_mname,h_mid,h_mname,w_pch_id,w_pch_name,l_pch_id,l_pch_name,s_pch_id,s_pch_name,g_rbi_bt_id,g_rbi_bt_name,v_st_pch_id,v_st_pch_name,h_st_pch_id,h_st_pch_name,v_st_pl1_id,v_st_pl1_name,v_pl1_def_pos,v_st_pl2_id,v_st_pl2_name,v_pl2_def_pos,v_st_pl3_id,v_st_pl3_name,v_pl3_def_pos,v_st_pl4_id,v_st_pl4_name,v_pl4_def_pos,v_st_pl5_id,v_st_pl5_name,v_pl5_def_pos,v_st_pl6_id,v_st_pl6_name,v_pl6_def_pos,v_st_pl7_id,v_st_pl7_name,v_pl7_def_pos,v_st_pl8_id,v_st_pl8_name,v_pl8_def_pos,v_st_pl9_id,v_st_pl9_name,v_pl9_def_pos,h_st_pl1_id,h_st_pl1_name,h_pl1_def_pos,h_st_pl2_id,h_st_pl2_name,h_pl2_def_pos,h_st_pl3_id,h_st_pl3_name,h_pl3_def_pos,h_st_pl4_id,h_st_pl4_name,h_pl4_def_pos,h_st_pl5_id,h_st_pl5_name,h_pl5_def_pos,h_st_pl6_id,h_st_pl6_name,h_pl6_def_pos,h_st_pl7_id,h_st_pl7_name,h_pl7_def_pos,h_st_pl8_id,h_st_pl8_name,h_pl8_def_pos,h_st_pl9_id,h_st_pl9_name,h_pl9_def_pos,HTBF,ACQ
19010418,0,Thu,BRO,NL,1,PHI,NL,1,12,7,54,D,,,,PHI09,4593,125,610003011,3300100,42,17,4,4,0,11,0,-1,0,3,-1,6,3,-1,-1,0,6,1,4,0,0,0,27,14,3,0,1,0,40,12,2,1,0,5,0,-1,0,5,-1,4,1,-1,-1,0,11,2,11,0,0,0,27,13,1,0,0,0,colgh901,Harry Colgan,,(none),,(none),,(none),,(none),,(none),hanln101,Ned Hanlon,shetb801,Bill Shettsline,donob101,Bill Donovan,dunnj102,Jack Dunn,,(none),,(none),donob101,Bill Donovan,dunnj102,Jack Dunn,davil101,Lefty Davis,7,keelw101,Willie Keeler,9,shecj101,Jimmy Sheckard,5,kellj106,Joe Kelley,3,mccrt101,Tom McCreery,8,dalyt101,Tom Daly,4,dahlb102,Bill Dahlen,6,mcgud101,Deacon McGuire,2,donob101,Bill Donovan,1,thomr101,Roy Thomas,8,slagj102,Jimmy Slagle,7,delae101,Ed Delahanty,3,flice101,Elmer Flick,9,mcfae101,Ed McFarland,2,wolvh101,Harry Wolverton,5,dolaj101,Joe Dolan,4,crosm101,Monte Cross,6,dunnj102,Jack Dunn,1,,D
19010419,0,Fri,PHI,NL,2,BRO,NL,2,2,10,51,D,,,,NYC12,7600,116,10001,01421002x,29,4,0,1,1,2,0,-1,1,2,-1,6,0,-1,-1,0,3,1,10,0,0,0,24,7,0,0,1,0,31,8,3,0,1,10,1,-1,1,10,-1,6,4,-1,-1,0,9,1,2,0,0,0,27,13,0,0,2,0,colgh901,Harry Colgan,,(none),,(none),,(none),,(none),,(none),shetb801,Bill Shettsline,hanln101,Ned Hanlon,mccag101,Gene McCann,townh101,Happy Townsend,,(none),,(none),townh101,Happy Townsend,mccag101,Gene McCann,thomr101,Roy Thomas,8,slagj102,Jimmy Slagle,7,delae101,Ed Delahanty,3,flice101,Elmer Flick,9,dougk101,Klondike Douglass,2,wolvh101,Harry Wolverton,5,dolaj101,Joe Dolan,4,crosm101,Monte Cross,6,townh101,Happy Townsend,1,davil101,Lefty Davis,7,keelw101,Willie Keeler,9,shecj101,Jimmy Sheckard,5,kellj106,Joe Kelley,3,mccrt101,Tom McCreery,8,dalyt101,Tom Daly,4,dahlb102,Bill Dahlen,6,mcgud101,Deacon McGuire,2,mccag101,Gene McCann,1,,D
19010419,0,Fri,NY1,NL,1,BSN,NL,1,0,7,51,D,,,,BOS05,6500,88,0,00112003x,32,5,0,0,0,0,1,-1,0,1,-1,5,0,-1,-1,0,7,1,6,0,1,0,24,13,2,2,1,0,37,15,2,0,0,5,0,-1,0,1,-1,4,3,-1,-1,0,7,1,0,0,0,0,27,13,2,0,0,0,odayh101,Hank O'Day,,(none),,(none),,(none),,(none),,(none),davig102,George Davis,selef801,Frank Selee,nichk101,Kid Nichols,tayld102,Dummy Taylor,,(none),,(none),tayld102,Dummy Taylor,nichk101,Kid Nichols,vanhg101,George Van Haltren,8,selbk101,Kip Selbach,7,davig102,George Davis,6,hickc101,Charlie Hickman,9,stras102,Sammy Strang,5,ganzj101,John Ganzel,3,murpd106,Danny Murphy,4,bowef102,Frank Bowerman,2,tayld102,Dummy Taylor,1,hamib101,Billy Hamilton,8,tennf102,Fred Tenney,3,demog101,Gene DeMontreville,5,longh101,Herman Long,6,loweb101,Bobby Lowe,4,crolf101,Fred Crolius,9,barrs101,Shad Barry,7,kittm101,Malachi Kittridge,2,nichk101,Kid Nichols,1,,D
19010419,0,Fri,CHN,NL,1,SLN,NL,1,8,7,54,D,,,,STL05,5000,127,413000,200220100,42,18,2,2,0,6,0,-1,1,0,-1,4,2,-1,-1,0,8,1,4,0,0,0,27,18,2,0,2,0,40,14,1,3,1,5,0,-1,0,1,-1,2,2,-1,-1,0,7,1,6,0,0,0,27,13,0,1,0,0,emslb101,Bob Emslie,,(none),,(none),,(none),,(none),,(none),loftt101,Tom Loftus,donop101,Patsy Donovan,taylj101,Jack Taylor,powej105,Jack Powell,,(none),,(none),taylj101,Jack Taylor,powej105,Jack Powell,chilc101,Cupid Childs,4,hartt102,Topsy Hartsel,7,dolac101,Cozy Dolan,9,greed103,Danny Green,8,doylj103,Jack Doyle,3,delaj103,Jim Delahanty,5,mccob104,Barry McCormick,6,klinj101,Johnny Kling,2,taylj101,Jack Taylor,1,burkj101,Jesse Burkett,7,heide101,Emmet Heidrick,8,donop101,Patsy Donovan,9,mcgad102,Dan McGann,3,wallb101,Bobby Wallace,6,paddd102,Dick Padden,4,krueo101,Otto Krueger,5,ryanj103,Jack Ryan,2,powej105,Jack Powell,1,,D
19010420,0,Sat,PIT,NL,1,CIN,NL,1,4,2,54,D,,,,CIN05,3000,95,4000,100010000,34,6,0,3,0,3,1,-1,0,2,-1,7,0,-1,-1,0,6,1,2,0,1,0,27,15,2,0,0,0,35,9,1,2,0,1,0,-1,1,0,-1,6,1,-1,-1,0,7,1,3,0,0,0,27,11,4,0,0,0,dwyef101,Frank Dwyer,,(none),,(none),,(none),,(none),,(none),clarf101,Fred Clarke,mcphb101,Bid McPhee,leevs101,Sam Leever,hahnn101,Noodles Hahn,,(none),,(none),leevs101,Sam Leever,hahnn101,Noodles Hahn,clarf101,Fred Clarke,7,beaug101,Ginger Beaumont,8,wagnh101,Honus Wagner,9,brank101,Kitty Bransfield,3,ritcc101,Claude Ritchey,4,leact101,Tommy Leach,5,ely-b101,Bones Ely,6,oconj104,Jack O'Connor,2,leevs101,Sam Leever,1,dobbj101,John Dobbs,8,harld101,Dick Harley,7,beckj103,Jake Beckley,3,craws101,Sam Crawford,9,magog101,George Magoon,4,irwic101,Charlie Irwin,5,corct101,Tommy Corcoran,6,peith101,Heinie Peitz,2,hahnn101,Noodles Hahn,1,,D
19010420,0,Sat,CHN,NL,2,SLN,NL,2,9,11,51,D,,,,STL05,3500,95,4100022,24400100x,40,15,0,2,1,9,1,-1,1,3,-1,-1,0,-1,-1,0,9,1,6,0,0,0,24,15,4,0,1,0,32,10,2,1,2,10,2,-1,3,6,-1,5,3,-1,-1,0,8,1,9,0,0,0,27,13,0,1,1,0,emslb101,Bob Emslie,,(none),,(none),,(none),,(none),,(none),loftt101,Tom Loftus,donop101,Patsy Donovan,jonec107,Cowboy Jones,hught103,Tom Hughes,,(none),,(none),hught103,Tom Hughes,jonec107,Cowboy Jones,chilc101,Cupid Childs,4,hartt102,Topsy Hartsel,7,dolac101,Cozy Dolan,9,greed103,Danny Green,8,doylj103,Jack Doyle,3,delaj103,Jim Delahanty,5,mccob104,Barry McCormick,6,klinj101,Johnny Kling,2,hught103,Tom Hughes,1,burkj101,Jesse Burkett,7,heide101,Emmet Heidrick,8,donop101,Patsy Donovan,9,mcgad102,Dan McGann,3,wallb101,Bobby Wallace,6,paddd102,Dick Padden,4,krueo101,Otto Krueger,5,nicha101,Art Nichols,2,jonec107,Cowboy Jones,1,,D
19010421,0,Sun,CHN,NL,3,SLN,NL,3,5,12,51,D,,,,STL05,11000,110,10040000,03000414x,32,7,1,2,0,3,0,-1,1,4,-1,3,1,-1,-1,0,5,1,6,0,0,0,24,21,2,0,0,0,33,12,0,3,0,8,2,-1,3,3,-1,1,2,-1,-1,0,5,1,1,0,0,0,27,21,1,1,0,0,emslb101,Bob Emslie,,(none),,(none),,(none),,(none),,(none),loftt101,Tom Loftus,donop101,Patsy Donovan,sudhw101,Willie Sudhoff,menej101,Jock Menefee,,(none),,(none),menej101,Jock Menefee,sudhw101,Willie Sudhoff,chilc101,Cupid Childs,4,hartt102,Topsy Hartsel,7,dolac101,Cozy Dolan,9,greed103,Danny Green,8,doylj103,Jack Doyle,3,delaj103,Jim Delahanty,5,mccob104,Barry McCormick,6,chanf101,Frank Chance,2,menej101,Jock Menefee,1,burkj101,Jesse Burkett,7,heide101,Emmet Heidrick,8,donop101,Patsy Donovan,9,mcgad102,Dan McGann,3,wallb101,Bobby Wallace,6,paddd102,Dick Padden,4,krueo101,Otto Krueger,5,nicha101,Art Nichols,2,sudhw101,Willie Sudhoff,1,,D
19010422,0,Mon,BRO,NL,3,PHI,NL,3,3,9,51,D,,,,PHI09,2070,105,200100,40005000x,31,6,3,1,0,2,1,-1,0,1,-1,4,1,-1,-1,0,3,2,9,0,0,0,24,11,2,0,0,0,32,11,1,0,1,9,2,-1,0,3,-1,3,2,-1,-1,0,4,1,2,0,0,0,27,5,3,0,0,0,colgh901,Harry Colgan,,(none),,(none),,(none),,(none),,(none),hanln101,Ned Hanlon,shetb801,Bill Shettsline,whitd104,Doc White,kitsf101,Frank Kitson,,(none),,(none),kitsf101,Frank Kitson,whitd104,Doc White,davil101,Lefty Davis,7,keelw101,Willie Keeler,9,shecj101,Jimmy Sheckard,5,kellj106,Joe Kelley,3,mccrt101,Tom McCreery,8,dalyt101,Tom Daly,4,dahlb102,Bill Dahlen,6,steef101,Farmer Steelman,2,kitsf101,Frank Kitson,1,thomr101,Roy Thomas,8,slagj102,Jimmy Slagle,7,delae101,Ed Delahanty,3,flice101,Elmer Flick,9,mcfae101,Ed McFarland,2,wolvh101,Harry Wolverton,5,dolaj101,Joe Dolan,4,crosm101,Monte Cross,6,whitd104,Doc White,1,,D
19010423,0,Tue,BSN,NL,2,PHI,NL,4,3,5,51,D,,,,PHI09,1214,100,20000010,00010004x,34,9,1,0,0,3,0,-1,0,2,-1,1,0,-1,-1,0,6,1,3,0,0,0,24,9,2,0,2,0,32,8,1,1,1,5,0,-1,0,1,-1,6,1,-1,-1,0,4,1,3,0,0,0,27,22,1,0,0,0,colgh901,Harry Colgan,,(none),,(none),,(none),,(none),,(none),selef801,Frank Selee,shetb801,Bill Shettsline,ortha101,Al Orth,willv101,Vic Willis,,(none),,(none),willv101,Vic Willis,ortha101,Al Orth,hamib101,Billy Hamilton,8,tennf102,Fred Tenney,3,demog101,Gene DeMontreville,5,longh101,Herman Long,6,loweb101,Bobby Lowe,4,crolf101,Fred Crolius,9,barrs101,Shad Barry,7,kittm101,Malachi Kittridge,2,willv101,Vic Willis,1,thomr101,Roy Thomas,8,slagj102,Jimmy Slagle,7,delae101,Ed Delahanty,3,flice101,Elmer Flick,9,dougk101,Klondike Douglass,2,wolvh101,Harry Wolverton,5,dolaj101,Joe Dolan,4,crosm101,Monte Cross,6,ortha101,Al Orth,1,,D
19010423,0,Tue,PIT,NL,2,SLN,NL,4,4,10,51,D,,,,STL05,3500,110,21001000,20000053x,34,8,0,2,0,4,0,-1,0,3,-1,4,1,-1,-1,0,6,2,6,0,1,0,24,12,5,0,1,0,36,10,3,1,0,7,0,-1,2,6,-1,4,1,-1,-1,0,10,1,4,0,0,0,27,12,2,1,0,0,dwyef101,Frank Dwyer,,(none),,(none),,(none),,(none),,(none),clarf101,Fred Clarke,donop101,Patsy Donovan,harpj102,Jack Harper,waddr101,Rube Waddell,,(none),,(none),waddr101,Rube Waddell,harpj102,Jack Harper,clarf101,Fred Clarke,7,beaug101,Ginger Beaumont,8,wagnh101,Honus Wagner,9,brank101,Kitty Bransfield,3,ritcc101,Claude Ritchey,4,leact101,Tommy Leach,5,ely-b101,Bones Ely,6,zimmc101,Chief Zimmer,2,waddr101,Rube Waddell,1,burkj101,Jesse Burkett,7,heide101,Emmet Heidrick,8,donop101,Patsy Donovan,9,mcgad102,Dan McGann,3,wallb101,Bobby Wallace,6,paddd102,Dick Padden,4,krueo101,Otto Krueger,5,schrp101,Pop Schriver,2,harpj102,Jack Harper,1,,D
19010424,0,Wed,CLE,AL,1,CHA,AL,1,2,8,51,D,,,,CHI09,9000,90,100100,25000010x,34,7,1,0,0,2,0,-1,0,2,-1,0,0,-1,-1,0,5,1,6,0,0,0,24,11,1,1,1,0,31,8,0,0,0,6,0,-1,0,6,-1,1,0,-1,-1,0,7,1,1,0,0,0,27,16,1,0,1,0,connt901,Tommy Connolly,,(none),,(none),,(none),,(none),,(none),mcalj102,Jimmy McAleer,grifc101,Clark Griffith,pattr101,Roy Patterson,hoffb102,Bill Hoffer,,(none),,(none),hoffb102,Bill Hoffer,pattr101,Roy Patterson,picko101,Ollie Pickering,9,mccaj105,Jack McCarthy,7,genif101,Frank Genins,8,lachc101,Candy LaChance,3,bradb102,Bill Bradley,5,becke101,Erve Beck,4,hallb101,Bill Hallman,6,woodb101,Bob Wood,2,hoffb102,Bill Hoffer,1,hoy-d101,Dummy Hoy,8,jonef102,Fielder Jones,9,merts101,Sam Mertes,7,shugf101,Frank Shugart,6,isbef101,Frank Isbell,3,hartf101,Fred Hartman,5,braid101,Dave Brain,4,sullb102,Billy Sullivan,2,pattr101,Roy Patterson,1,,D
19010424,0,Wed,CHN,NL,4,CIN,NL,2,9,10,53,D,,,,CIN05,200,113,2410020,260001001,35,12,4,1,0,9,2,-1,3,7,-1,4,3,-1,-1,0,11,1,4,0,0,0,26,17,5,0,0,0,40,14,5,1,0,7,1,-1,0,3,-1,2,1,-1,-1,0,9,2,9,0,0,0,27,10,0,0,1,0,emslb101,Bob Emslie,,(none),,(none),,(none),,(none),,(none),loftt101,Tom Loftus,mcphb101,Bid McPhee,mcfab101,Barney McFadden,taylj101,Jack Taylor,,(none),,(none),taylj101,Jack Taylor,philb101,Bill Phillips,chilc101,Cupid Childs,4,hartt102,Topsy Hartsel,7,dolac101,Cozy Dolan,9,greed103,Danny Green,8,doylj103,Jack Doyle,3,delaj103,Jim Delahanty,5,raymf101,Fred Raymer,6,klinj101,Johnny Kling,2,taylj101,Jack Taylor,1,dobbj101,John Dobbs,8,harld101,Dick Harley,7,beckj103,Jake Beckley,3,craws101,Sam Crawford,9,magog101,George Magoon,4,irwic101,Charlie Irwin,5,corct101,Tommy Corcoran,6,peith101,Heinie Peitz,2,philb101,Bill Phillips,1,,D
19010424,0,Wed,PIT,NL,3,SLN,NL,5,5,4,54,D,,,,STL05,3200,115,210002,201010000,36,11,1,0,1,5,0,-1,1,2,-1,-1,2,-1,-1,0,7,2,4,0,0,0,26,20,2,0,1,0,33,10,0,0,1,4,0,-1,1,1,-1,-1,1,-1,-1,0,4,1,4,0,0,0,27,15,2,0,3,0,dwyef101,Frank Dwyer,,(none),,(none),,(none),,(none),,(none),clarf101,Fred Clarke,donop101,Patsy Donovan,phild101,Deacon Phillippe,jonec107,Cowboy Jones,tannj101,Jesse Tannehill,,(none),phild101,Deacon Phillippe,jonec107,Cowboy Jones,clarf101,Fred Clarke,7,beaug101,Ginger Beaumont,8,wagnh101,Honus Wagner,9,brank101,Kitty Bransfield,3,ritcc101,Claude Ritchey,4,leact101,Tommy Leach,5,ely-b101,Bones Ely,6,oconj104,Jack O'Connor,2,phild101,Deacon Phillippe,1,burkj101,Jesse Burkett,7,heide101,Emmet Heidrick,8,donop101,Patsy Donovan,9,mcgad102,Dan McGann,3,wallb101,Bobby Wallace,6,paddd102,Dick Padden,4,krueo101,Otto Krueger,5,nicha101,Art Nichols,2,jonec107,Cowboy Jones,1,,D
19010425,0,Thu,CLE,AL,2,CHA,AL,2,3,7,51,D,,,,CHI09,3000,110,110001000,01200301x,28,5,2,0,1,2,1,-1,0,4,-1,2,0,-1,-1,0,5,1,3,0,1,0,24,14,2,1,0,0,34,9,2,0,0,6,0,-1,0,5,-1,3,6,-1,-1,0,8,1,2,0,2,0,27,13,2,0,3,0,connt901,Tommy Connolly,,(none),,(none),,(none),,(none),,(none),mcalj102,Jimmy McAleer,grifc101,Clark Griffith,skopj101,John Skopec,moore103,Earl Moore,,(none),,(none),moore103,Earl Moore,skopj101,John Skopec,picko101,Ollie Pickering,9,mccaj105,Jack McCarthy,7,genif101,Frank Genins,8,lachc101,Candy LaChance,3,bradb102,Bill Bradley,5,becke101,Erve Beck,4,hallb101,Bill Hallman,6,yeagg101,George Yeager,2,moore103,Earl Moore,1,hoy-d101,Dummy Hoy,8,jonef102,Fielder Jones,9,merts101,Sam Mertes,7,shugf101,Frank Shugart,6,isbef101,Frank Isbell,3,hartf101,Fred Hartman,5,braid101,Dave Brain,4,sullb102,Billy Sullivan,2,skopj101,John Skopec,1,,D
19010425,0,Thu,MLA,AL,1,DET,AL,1,13,14,53,D,,,,DET02,8000,155,25000330,00021001(10),42,16,3,0,0,10,2,-1,0,4,-1,2,0,-1,-1,0,8,3,9,0,3,0,26,15,4,1,0,0,47,19,8,0,0,13,0,-1,0,3,-1,4,2,-1,-1,0,10,2,10,0,0,0,27,22,7,0,0,0,sherj901,Jack Sheridan,manna901,Al Mannassau,,(none),,(none),,(none),,(none),duffh101,Hugh Duffy,stalg101,George Stallings,frise101,Emil Frisk,hustb101,Bert Husting,,(none),,(none),hawlp101,Pink Hawley,millr112,Roscoe Miller,waldi101,Irv Waldron,9,gilbb103,Billy Gilbert,4,hallb102,Bill Hallman,7,andej101,John Anderson,3,conrw101,Wid Conroy,6,duffh101,Hugh Duffy,8,burkj104,Jimmy Burke,5,leaht101,Tom Leahy,2,hawlp101,Pink Hawley,1,cased101,Doc Casey,5,barrj103,Jimmy Barrett,8,gleak101,Kid Gleason,4,holmd101,Ducky Holmes,9,dillp103,Pop Dillon,3,elbek101,Kid Elberfeld,6,nancd101,Kid Nance,7,buelf101,Fritz Buelow,2,millr112,Roscoe Miller,1,,D
19010426,0,Fri,BOS,AL,1,BLA,AL,1,6,10,51,D,,,,BAL09,10371,105,100023,30100204x,36,8,3,0,0,6,0,-1,0,3,-1,2,1,-1,-1,0,6,1,10,0,0,0,24,15,1,0,0,0,33,11,5,3,0,10,1,-1,0,4,-1,2,2,-1,-1,0,4,1,3,0,0,0,27,12,3,0,0,0,cantj801,Joe Cantillon,,(none),,(none),,(none),,(none),,(none),collj103,Jimmy Collins,mcgrj101,John McGraw,mcgij101,Joe McGinnity,kellw102,Win Kellum,,(none),,(none),kellw102,Win Kellum,mcgij101,Joe McGinnity,dowdt101,Tommy Dowd,7,hempc101,Charlie Hemphill,9,stahc101,Chick Stahl,8,collj103,Jimmy Collins,5,freeb102,Buck Freeman,3,paref101,Freddy Parent,6,ferrh101,Hobe Ferris,4,crigl101,Lou Criger,2,kellw102,Win Kellum,1,mcgrj101,John McGraw,5,donlm101,Mike Donlin,7,willj106,Jimmy Williams,4,keisb101,Bill Keister,6,seymc101,Cy Seymour,9,jackj103,Jim Jackson,8,foutf101,Frank Foutz,3,robiw101,Wilbert Robinson,2,mcgij101,Joe McGinnity,1,,D
19010426,0,Fri,MLA,AL,2,DET,AL,2,5,6,53,D,,,,DET02,4500,150,20200100,1001022,30,7,1,2,0,3,1,-1,0,7,-1,6,0,-1,-1,0,6,1,4,0,1,0,26,16,4,1,3,0,34,12,3,0,0,6,0,-1,1,7,-1,3,4,-1,-1,0,10,2,3,0,1,0,27,17,3,0,1,0,sherj901,Jack Sheridan,manna901,Al Mannassau,,(none),,(none),,(none),,(none),duffh101,Hugh Duffy,stalg101,George Stallings,sieve101,Ed Siever,garvn101,Ned Garvin,,(none),,(none),garvn101,Ned Garvin,owenf102,Frank Owen,waldi101,Irv Waldron,9,gilbb103,Billy Gilbert,4,hallb102,Bill Hallman,7,andej101,John Anderson,3,conrw101,Wid Conroy,6,duffh101,Hugh Duffy,8,burkj104,Jimmy Burke,5,leaht101,Tom Leahy,2,garvn101,Ned Garvin,1,cased101,Doc Casey,5,barrj103,Jimmy Barrett,8,gleak101,Kid Gleason,4,holmd101,Ducky Holmes,9,dillp103,Pop Dillon,3,elbek101,Kid Elberfeld,6,nancd101,Kid Nance,7,buelf101,Fritz Buelow,2,owenf102,Frank Owen,1,,D
19010426,0,Fri,WS1,AL,1,PHA,AL,1,5,1,54,D,,,,PHI10,10547,115,102110,100,38,8,0,0,0,3,0,-1,0,4,-1,5,1,-1,-1,0,10,1,0,0,0,0,27,15,1,0,2,0,32,7,1,0,0,1,0,-1,0,2,-1,3,2,-1,-1,0,6,1,1,0,0,0,27,16,6,0,0,0,haskj901,Jack Haskell,,(none),,(none),,(none),,(none),,(none),mannj102,Jim Manning,mackc101,Connie Mack,carrb102,Bill Carrick,frasc101,Chick Fraser,,(none),,(none),carrb102,Bill Carrick,frasc101,Chick Fraser,farrj103,John Farrell,8,everb101,Bill Everitt,3,obrij103,Jack O'Brien,7,dungs101,Sam Dungan,9,quinj103,Joe Quinn,4,clinb101,Billy Clingman,6,cougb101,Bill Coughlin,5,clarb103,Boileryard Clarke,2,carrb102,Bill Carrick,1,haydj101,Jack Hayden,9,geiep101,Phil Geier,8,fultd101,Dave Fultz,6,lajon101,Nap Lajoie,4,seybs101,Socks Seybold,7,crosl101,Lave Cross,5,carrc106,Charlie Carr,3,powem102,Doc Powers,2,frasc101,Chick Fraser,1,,D
19010426,0,Fri,CIN,NL,3,CHN,NL,5,8,7,72,D,,,,CHI08,3200,154,4200001001,2.01E+11,48,12,2,1,0,6,0,-1,0,7,-1,6,4,-1,-1,0,11,1,5,0,0,0,36,9,3,0,0,0,44,8,1,0,0,6,0,-1,1,6,-1,6,2,-1,-1,0,8,2,6,0,1,0,36,16,1,0,0,0,emslb101,Bob Emslie,,(none),,(none),,(none),,(none),,(none),mcphb101,Bid McPhee,loftt101,Tom Loftus,newtd101,Doc Newton,menej101,Jock Menefee,,(none),,(none),newtd101,Doc Newton,hught103,Tom Hughes,dobbj101,John Dobbs,8,harld101,Dick Harley,7,beckj103,Jake Beckley,3,craws101,Sam Crawford,9,magog101,George Magoon,4,irwic101,Charlie Irwin,5,corct101,Tommy Corcoran,6,peith101,Heinie Peitz,2,newtd101,Doc Newton,1,chilc101,Cupid Childs,4,hartt102,Topsy Hartsel,7,dolac101,Cozy Dolan,9,dextc101,Charlie Dexter,8,doylj103,Jack Doyle,3,delaj103,Jim Delahanty,5,mccob104,Barry McCormick,6,klinj101,Johnny Kling,2,hught103,Tom Hughes,1,,D
19010426,0,Fri,BRO,NL,4,NY1,NL,2,3,5,51,D,,,,NYC10,10000,107,110000100,00300020x,31,4,1,0,0,2,1,-1,1,2,-1,8,1,-1,-1,0,5,1,2,0,0,0,24,16,2,1,0,0,31,6,1,0,0,5,0,-1,0,3,-1,6,2,-1,-1,0,5,1,2,0,0,0,27,8,3,1,1,0,colgh901,Harry Colgan,,(none),,(none),,(none),,(none),,(none),hanln101,Ned Hanlon,davig102,George Davis,mathc102,Christy Mathewson,donob101,Bill Donovan,,(none),,(none),donob101,Bill Donovan,mathc102,Christy Mathewson,davil101,Lefty Davis,7,keelw101,Willie Keeler,9,shecj101,Jimmy Sheckard,5,kellj106,Joe Kelley,3,mccrt101,Tom McCreery,8,dalyt101,Tom Daly,4,dahlb102,Bill Dahlen,6,mcgud101,Deacon McGuire,2,donob101,Bill Donovan,1,vanhg101,George Van Haltren,8,selbk101,Kip Selbach,7,davig102,George Davis,6,hickc101,Charlie Hickman,9,stras102,Sammy Strang,5,ganzj101,John Ganzel,3,murpd106,Danny Murphy,4,bowef102,Frank Bowerman,2,mathc102,Christy Mathewson,1,,D
19010426,0,Fri,BSN,NL,3,PHI,NL,5,4,3,54,D,,,,PHI09,779,105,10030000,100020000,35,8,0,0,0,4,1,-1,1,2,-1,4,5,-1,-1,0,8,1,2,0,0,0,27,16,4,0,2,0,31,6,0,0,0,3,2,-1,0,5,-1,3,2,-1,-1,0,8,1,2,0,1,0,27,18,4,0,0,0,odayh101,Hank O'Day,,(none),,(none),,(none),,(none),,(none),selef801,Frank Selee,shetb801,Bill Shettsline,pittt101,Togie Pittinger,donar101,Red Donahue,,(none),,(none),pittt101,Togie Pittinger,donar101,Red Donahue,hamib101,Billy Hamilton,8,tennf102,Fred Tenney,3,demog101,Gene DeMontreville,5,longh101,Herman Long,6,loweb101,Bobby Lowe,4,crolf101,Fred Crolius,9,barrs101,Shad Barry,7,kittm101,Malachi Kittridge,2,pittt101,Togie Pittinger,1,thomr101,Roy Thomas,8,slagj102,Jimmy Slagle,7,delae101,Ed Delahanty,3,flice101,Elmer Flick,9,mcfae101,Ed McFarland,2,wolvh101,Harry Wolverton,5,dolaj101,Joe Dolan,4,crosm101,Monte Cross,6,donar101,Red Donahue,1,,D
19010427,0,Sat,BOS,AL,2,BLA,AL,2,6,12,51,D,,,,BAL09,6500,115,210012,30320310x,40,11,0,0,0,6,0,-1,0,3,-1,3,0,-1,-1,0,10,2,10,0,0,0,24,14,2,0,2,0,32,11,4,2,0,11,3,-1,0,7,-1,1,1,-1,-1,0,6,1,4,0,0,0,27,17,4,0,2,0,cantj801,Joe Cantillon,,(none),,(none),,(none),,(none),,(none),collj103,Jimmy Collins,mcgrj101,John McGraw,howeh101,Harry Howell,younc102,Cy Young,,(none),,(none),younc102,Cy Young,howeh101,Harry Howell,dowdt101,Tommy Dowd,7,hempc101,Charlie Hemphill,9,stahc101,Chick Stahl,8,collj103,Jimmy Collins,5,mclel101,Larry McLean,3,paref101,Freddy Parent,6,ferrh101,Hobe Ferris,4,crigl101,Lou Criger,2,younc102,Cy Young,1,mcgrj101,John McGraw,5,donlm101,Mike Donlin,7,willj106,Jimmy Williams,4,keisb101,Bill Keister,6,seymc101,Cy Seymour,9,jackj103,Jim Jackson,8,foutf101,Frank Foutz,3,robiw101,Wilbert Robinson,2,howeh101,Harry Howell,1,,D
